(<http://dbpedia.org/resource/Lester_Lefton>,<http://dbpedia.org/resource/David_Naylor>) (4,0) :	sim: 0.459
	<http://dbpedia.org/property/name> ( 145 ) : 0.500	50.0%
(<http://dbpedia.org/resource/University_of_Toronto>,<http://dbpedia.org/resource/Toronto>) (16,2) :	sim: 0.158
	<http://dbpedia.org/property/hasPhotoCollection> ( 0 ) : 0.333	33.3%
	<http://dbpedia.org/property/name> ( 145 ) : 0.333	33.3%
	<http://dbpedia.org/property/nickname> ( 147 ) : 0.333	33.3%
(<http://dbpedia.org/resource/University_of_Toronto>,<http://dbpedia.org/resource/Lester_Lefton>) (16,4) :	sim: 0.157
	<http://dbpedia.org/property/hasPhotoCollection> ( 0 ) : 0.500	50.0%
	<http://dbpedia.org/property/name> ( 145 ) : 0.500	50.0%
(<http://dbpedia.org/resource/University_of_Toronto>,<http://dbpedia.org/resource/David_Naylor>) (16,0) :	sim: 0.157
	<http://dbpedia.org/property/hasPhotoCollection> ( 0 ) : 0.333	33.3%
	<http://dbpedia.org/property/name> ( 145 ) : 0.333	33.3%
	<http://dbpedia.org/property/website> ( 231 ) : 0.333	33.3%
(<http://dbpedia.org/resource/Kent,_Ohio>,<http://dbpedia.org/resource/Kent_State_University>) (12,8) :	sim: 0.156
	<http://dbpedia.org/property/hasPhotoCollection> ( 0 ) : 0.250	25.0%
	<http://dbpedia.org/property/name> ( 145 ) : 0.250	25.0%
	<http://dbpedia.org/property/nickname> ( 147 ) : 0.250	25.0%
	<http://dbpedia.org/property/website> ( 231 ) : 0.250	25.0%
(<http://dbpedia.org/resource/Barbara_Snyder>,<http://dbpedia.org/resource/Toronto>) (14,2) :	sim: 0.155
	<http://dbpedia.org/property/hasPhotoCollection> ( 0 ) : 0.500	50.0%
	<http://dbpedia.org/property/name> ( 145 ) : 0.500	50.0%
(<http://dbpedia.org/resource/Kent,_Ohio>,<http://dbpedia.org/resource/Case_Western_Reserve_University>) (12,10) :	sim: 0.155
	<http://dbpedia.org/property/hasPhotoCollection> ( 0 ) : 0.250	25.0%
	<http://dbpedia.org/property/name> ( 145 ) : 0.250	25.0%
	<http://dbpedia.org/property/nickname> ( 147 ) : 0.250	25.0%
	<http://dbpedia.org/property/website> ( 231 ) : 0.250	25.0%
(<http://dbpedia.org/resource/Lester_Lefton>,<http://dbpedia.org/resource/Toronto>) (4,2) :	sim: 0.155
	<http://dbpedia.org/property/hasPhotoCollection> ( 0 ) : 0.500	50.0%
	<http://dbpedia.org/property/name> ( 145 ) : 0.500	50.0%
(<http://dbpedia.org/resource/University_of_Toronto>,<http://dbpedia.org/resource/Kent,_Ohio>) (16,12) :	sim: 0.155
	<http://dbpedia.org/property/hasPhotoCollection> ( 0 ) : 0.250	25.0%
	<http://dbpedia.org/property/name> ( 145 ) : 0.250	25.0%
	<http://dbpedia.org/property/nickname> ( 147 ) : 0.250	25.0%
	<http://dbpedia.org/property/website> ( 231 ) : 0.250	25.0%
(<http://dbpedia.org/resource/Toronto>,<http://dbpedia.org/resource/David_Naylor>) (2,0) :	sim: 0.155
	<http://dbpedia.org/property/hasPhotoCollection> ( 0 ) : 0.500	50.0%
	<http://dbpedia.org/property/name> ( 145 ) : 0.500	50.0%
(<http://dbpedia.org/resource/Barbara_Snyder>,<http://dbpedia.org/resource/Kent,_Ohio>) (14,12) :	sim: 0.153
	<http://dbpedia.org/property/hasPhotoCollection> ( 0 ) : 0.500	50.0%
	<http://dbpedia.org/property/name> ( 145 ) : 0.500	50.0%
